<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.26	106.844	107.185	106.499	106.882	29260	0	6
2024.11.27	106.831	106.917	105.849	106.078	48723	0	6
2024.11.28	106.234	106.424	106.112	106.149	21288	0	6
2024.11.29	105.966	106.135	105.611	105.813	37147	0	6
2024.12.02	106.175	106.738	106.113	106.387	46928	0	6
2024.12.03	106.454	106.600	106.079	106.333	40034	0	6
2024.12.04	106.468	106.719	106.077	106.366	43826	0	6
2024.12.05	106.308	106.370	105.692	105.713	36069	0	6
2024.12.06	105.805	106.153	105.410	105.960	41814	0	6
2024.12.09	105.996	106.207	105.790	106.165	29323	0	6
2024.12.10	106.213	106.632	106.030	106.411	29863	0	6
2024.12.11	106.359	106.809	106.040	106.582	40940	0	6
2024.12.12	106.488	106.968	106.310	106.922	38965	0	10
2024.12.13	106.907	107.130	106.657	106.841	31281	0	106
2024.12.16	106.810	107.118	106.695	106.768	27043	0	106
2024.12.17	106.692	107.040	106.665	106.856	29600	0	10
2024.12.18	106.879	108.211	106.753	108.138	42035	0	7
2024.12.19	108.073	108.440	107.793	108.331	50428	0	10
2024.12.20	108.419	108.502	107.515	107.743	41914	0	106
2024.12.23	107.765	108.222	107.650	108.001	24813	0	106
2024.12.24	108.060	108.244	107.994	108.194	15321	0	106
2024.12.26	108.092	108.243	107.963	107.997	14927	0	106
2024.12.27	108.067	108.163	107.823	107.948	23093	0	106
2024.12.30	107.957	108.328	107.695	107.976	27169	0	106
2024.12.31	108.016	108.528	107.807	108.373	28075	0	106
2025.01.02	108.473	109.505	108.223	109.178	39073	0	106
2025.01.03	109.144	109.192	108.824	108.854	26017	0	106
2025.01.06	108.925	108.933	107.676	108.149	47794	0	106
2025.01.07	108.313	108.609	107.795	108.607	37832	0	10
2025.01.08	108.604	109.326	108.510	108.932	39064	0	10
2025.01.09	109.004	109.333	108.900	109.078	26261	0	106
2025.01.10	109.127	109.924	109.014	109.542	45495	0	9
2025.01.13	109.589	110.108	109.527	109.643	38672	0	106
2025.01.14	109.557	109.749	109.092	109.095	41566	0	10
2025.01.15	109.162	109.354	108.521	109.045	39124	0	10
2025.01.16	108.978	109.386	108.769	108.850	41342	0	10
2025.01.17	108.906	109.398	108.812	109.388	34959	0	26
2025.01.20	109.245	109.296	107.893	108.074	38042	0	23
2025.01.21	108.659	108.787	107.892	107.920	45639	0	23
2025.01.22	108.016	108.251	107.704	108.236	32505	0	26
2025.01.23	108.210	108.532	107.902	108.128	35843	0	19
2025.01.24	108.112	108.180	107.193	107.423	42978	0	24
2025.01.27	107.530	107.783	106.935	107.311	44139	0	26
2025.01.28	107.676	108.036	107.661	107.873	32331	0	26
2025.01.29	107.887	108.271	107.719	107.963	41216	0	26
2025.01.30	107.881	108.235	107.477	108.109	39664	0	26
2025.01.31	108.146	108.538	107.752	108.468	47029	0	23
2025.02.03	109.731	109.882	108.335	108.420	65781	0	20
2025.02.04	108.700	109.033	107.902	107.980	39912	0	26
2025.02.05	107.901	107.994	107.271	107.625	36691	0	24
2025.02.06	107.623	108.097	107.524	107.660	33775	0	20
2025.02.07	107.712	108.300	107.374	108.060	44380	0	26
2025.02.10	108.278	108.410	108.073	108.310	25497	0	26
2025.02.11	108.345	108.453	107.746	107.920	24783	0	26
2025.02.12	108.009	108.525	107.598	107.991	39848	0	26
2025.02.13	107.992	107.999	107.018	107.038	40957	0	26
2025.02.14	107.039	107.157	106.547	106.748	28103	0	26
2025.02.17	106.731	106.870	106.605	106.716	17152	0	26
2025.02.18	106.810	107.109	106.805	107.028	24062	0	26
2025.02.19	107.068	107.371	106.867	107.156	24697	0	26
2025.02.20	107.066	107.146	106.312	106.325	27640	0	26
2025.02.21	106.453	106.738	106.364	106.632	28153	0	23
2025.02.24	106.262	106.738	106.091	106.677	31546	0	26
2025.02.25	106.752	106.786	106.176	106.277	29240	0	26
2025.02.26	106.232	106.642	106.134	106.503	32236	0	26
2025.02.27	106.600	107.287	106.457	107.279	33090	0	26
2025.02.28	107.192	107.647	107.177	107.541	35817	0	23
2025.03.03	107.253	107.375	106.421	106.506	39907	0	23
2025.03.04	106.532	106.647	105.507	105.565	51787	0	23
2025.03.05	105.644	105.772	104.245	104.269	55569	0	23
2025.03.06	104.311	104.396	103.738	104.178	54926	0	23
2025.03.07	104.174	104.222	103.444	103.861	47546	0	23
2025.03.10	103.681	104.053	103.543	103.943	40006	0	23
2025.03.11	103.814	103.914	103.216	103.391	43530	0	6
2025.03.12	103.475	103.782	103.252	103.566	37070	0	6
2025.03.13	103.616	104.078	103.526	103.830	35275	0	6
2025.03.14	103.838	104.115	103.570	103.657	32117	0	6
2025.03.17	103.687	103.788	103.293	103.378	25718	0	6
2025.03.18	103.450	103.664	103.201	103.234	25200	0	6
2025.03.19	103.321	103.916	103.264	103.435	30450	0	6
2025.03.20	103.365	104.126	103.336	103.789	28811	0	6
2025.03.21	103.771	104.244	103.740	104.153	26628	0	0
2025.03.24	104.029	104.468	103.839	104.293	25190	0	6
2025.03.25	104.355	104.488	103.931	104.179	23542	0	6
2025.03.26	104.206	104.626	104.168	104.539	26366	0	6
2025.03.27	104.636	104.647	104.073	104.246	30314	0	6
2025.03.28	104.275	104.491	103.898	103.965	28527	0	6
2025.03.31	103.992	104.393	103.742	104.165	31352	0	6
2025.04.01	104.154	104.367	104.018	104.194	30296	0	6
2025.04.02	104.223	104.305	103.313	103.800	33116	0	6
2025.04.03	103.228	103.393	101.259	101.926	71086	0	7
2025.04.04	102.035	103.200	101.545	102.973	98498	0	8
2025.04.07	102.687	103.533	102.197	103.435	101781	0	8
2025.04.08	103.323	103.445	102.728	102.997	75871	0	10
2025.04.09	102.804	103.312	101.826	102.957	109599	0	10
2025.04.10	102.924	102.934	100.702	101.044	81974	0	10
2025.04.11	100.495	100.680	99.065	99.840	101686	0	30
2025.04.14	99.805	100.157	99.195	99.641	62118	0	27
2025.04.15	99.836	100.271	99.433	100.141	47927	0	26
2025.04.16	100.042	100.047	99.144	99.271	54771	0	26
2025.04.17	99.435	99.738	99.247	99.389	45965	0	26
2025.04.21	98.693	98.728	97.888	98.353	38921	0	27
2025.04.22	98.400	98.979	98.000	98.966	48728	0	27
2025.04.23	99.416	99.933	98.851	99.922	57842	0	27
2025.04.24	99.821	99.849	99.202	99.203	38884	0	26
2025.04.25	99.485	99.877	99.425	99.599	39453	0	26
2025.04.28	99.635	99.805	98.861	98.901	35433	0	26
2025.04.29	99.015	99.359	98.922	99.189	37609	0	26
2025.04.30	99.140	99.699	99.125	99.664	40667	0	26
2025.05.01	99.640	100.372	99.609	100.162	34720	0	26
2025.05.02	100.156	100.322	99.365	100.042	45233	0	26
2025.05.05	99.865	99.943	99.442	99.763	33605	0	26
2025.05.06	99.803	100.089	99.158	99.227	37750	0	26
2025.05.07	99.405	99.953	99.278	99.883	41479	0	26
2025.05.08	99.854	100.757	99.596	100.622	44112	0	26
2025.05.09	100.625	100.865	100.066	100.401	30985	0	26
2025.05.12	100.514	101.963	100.484	101.745	51306	0	26
2025.05.13	101.665	101.684	100.889	100.941	36862	0	26
2025.05.14	100.991	101.123	100.259	101.058	44568	0	26
2025.05.15	101.038	101.046	100.588	100.796	37604	0	26
2025.05.16	100.666	101.245	100.509	101.033	31870	0	26
2025.05.19	100.699	100.862	100.039	100.336	37562	0	26
2025.05.20	100.459	100.566	99.985	99.998	33738	0	26
2025.05.21	99.923	99.948	99.311	99.589	43014	0	26
2025.05.22	99.594	100.108	99.441	99.908	41581	0	26
2025.05.23	99.917	99.927	99.031	99.083	42048	0	26
2025.05.26	99.002	99.091	98.672	98.952	22005	0	26
2025.05.27	98.902	99.609	98.763	99.564	33549	0	26
2025.05.28	99.503	99.944	99.433	99.881	34743	0	26
2025.05.29	100.334	100.486	99.197	99.330	43505	0	26
2025.05.30	99.208	99.659	99.116	99.404	40869	0	26
2025.06.02	99.285	99.323	98.594	98.666	35176	0	26
2025.06.03	98.632	99.314	98.626	99.224	31673	0	26
2025.06.04	99.137	99.369	98.659	98.770	33425	0	26
2025.06.05	98.828	98.936	98.330	98.735	38280	0	26
