<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.01	13121.15	13121.15	13121.15	13121.15	1	0	0
2020.01.02	13184.80	13450.90	13178.30	13449.90	28011	0	0
2020.01.03	13438.90	13442.50	13118.15	13161.40	37121	0	0
2020.01.06	13114.80	13163.90	12947.23	13161.40	38675	0	0
2020.01.07	13156.90	13285.15	13149.98	13190.90	23635	0	0
2020.01.08	12999.60	13407.25	12975.00	13364.90	49921	0	0
2020.01.09	13408.40	13528.03	13392.90	13515.03	16364	0	0
2020.01.10	13537.90	13555.70	13434.25	13452.15	15716	0	0
2020.01.13	13472.30	13533.53	13405.20	13469.40	25377	0	0
2020.01.14	13506.10	13510.10	13363.78	13444.90	23145	0	0
2020.01.15	13435.80	13464.20	13389.85	13406.40	11931	0	0
2020.01.16	13428.00	13496.53	13382.73	13458.90	19671	0	0
2020.01.17	13474.00	13559.48	13472.90	13530.65	11652	0	0
2020.01.20	13535.30	13581.50	13488.63	13578.65	14240	0	0
2020.01.21	13562.70	13573.28	13439.40	13524.40	22947	0	0
2020.01.22	13548.60	13641.28	13482.03	13482.40	25231	0	0
2020.01.23	13452.60	13501.00	13381.98	13481.65	20900	0	0
2020.01.24	13497.50	13607.63	13478.80	13516.15	23902	0	0
2020.01.27	13421.00	13438.60	13189.40	13189.65	26706	0	0
2020.01.28	13216.50	13338.25	13165.25	13318.15	24436	0	0
2020.01.29	13281.30	13377.85	13280.30	13319.85	15656	0	0
2020.01.30	13293.60	13308.30	13118.73	13229.70	31525	0	0
2020.01.31	13220.00	13278.60	12884.90	12922.65	49006	0	0
2020.02.03	12973.80	13079.25	12971.90	13023.80	16471	0	0
2020.02.04	13024.20	13295.50	13016.30	13278.65	30396	0	0
2020.02.05	13257.70	13517.50	13222.63	13503.15	34430	0	0
2020.02.06	13494.40	13605.38	13489.40	13570.30	15607	0	0
2020.02.07	13558.90	13578.40	13461.40	13475.90	15101	0	0
2020.02.10	13440.00	13529.90	13430.80	13529.90	10831	0	0
2020.02.11	13545.10	13671.30	13545.10	13626.65	17086	0	0
2020.02.12	13620.90	13787.03	13612.50	13771.40	19857	0	0
2020.02.13	13732.20	13770.60	13580.58	13737.15	37510	0	0
2020.02.14	13729.10	13800.10	13715.25	13750.40	14841	0	0
2020.02.17	13765.20	13816.90	13757.43	13782.65	10150	0	0
2020.02.18	13749.10	13763.30	13660.95	13696.90	15251	0	0
2020.02.19	13745.00	13793.30	13716.80	13777.63	12038	0	0
2020.02.20	13824.50	13835.10	13645.65	13716.15	27056	0	0
2020.02.21	13699.90	13718.30	13499.83	13560.20	29725	0	0
2020.02.24	13399.70	13406.70	12967.20	12968.90	44821	0	0
2020.02.25	13076.80	13162.30	12610.70	12624.15	65056	0	0
2020.02.26	12706.80	12851.53	12368.63	12593.40	85241	0	0
2020.02.27	12564.10	12599.30	12122.40	12122.40	51211	0	0
2020.02.28	12086.80	12159.50	11722.35	11970.65	75816	0	0
2020.03.02	11796.00	12215.90	11624.15	12065.15	91436	0	0
2020.03.03	12084.10	12273.93	11765.85	11819.30	75137	0	0
2020.03.04	11873.60	12279.78	11872.10	12271.00	41797	0	0
2020.03.05	12189.00	12222.40	11751.48	11782.90	53575	0	0
2020.03.06	11841.30	11853.10	11420.90	11568.65	59176	0	0
2020.03.09	11030.90	11081.40	10354.10	10355.10	77881	0	0
2020.03.10	10356.40	11036.48	10356.40	10881.28	83529	0	0
2020.03.11	10881.28	10881.28	10211.55	10305.98	76417	0	0
2020.03.12	10300.30	10300.30	8973.70	9000.90	135381	0	0
2020.03.13	9000.90	9995.35	8808.40	9618.85	175596	0	0
2020.03.16	8933.60	8994.48	8237.28	8546.53	112734	0	0
2020.03.17	8547.15	9169.30	8421.80	8866.65	117551	0	0
2020.03.18	8867.40	8873.80	8187.65	8464.15	96906	0	0
2020.03.19	8464.40	8812.68	7961.20	8566.90	160047	0	0
2020.03.20	8566.90	9189.48	8499.00	8600.93	134694	0	0
2020.03.23	8267.00	9105.28	8241.50	8797.78	119679	0	0
2020.03.24	8810.15	9736.25	8810.15	9689.63	97273	0	0
2020.03.25	9698.15	10133.88	9432.00	9800.00	130192	0	0
2020.03.26	9809.90	10070.40	9511.78	10069.40	85775	0	0
2020.03.27	10079.40	10079.40	9522.20	9538.70	57371	0	0
2020.03.30	9491.90	9874.05	9434.40	9867.40	50381	0	0
2020.03.31	9940.50	10088.53	9694.48	9820.90	66851	0	0
2020.04.01	9707.30	9742.80	9317.13	9360.90	50495	0	0
2020.04.02	9399.30	9646.18	9328.80	9627.65	40642	0	0
2020.04.03	9558.80	9579.30	9459.68	9511.43	19188	0	0
2020.04.06	9949.15	10266.65	9838.40	10199.15	60651	0	0
2020.04.07	10265.40	10590.40	10201.90	10208.40	72001	0	0
2020.04.08	10337.65	10425.65	10181.40	10407.15	41901	0	0
2020.04.09	10435.90	10712.65	10311.15	10657.15	58176	0	0
2020.04.10	10655.90	10655.90	10655.90	10655.90	1	0	0
2020.04.14	10749.90	10824.65	10658.15	10723.90	30701	0	0
2020.04.15	10680.90	10701.40	10239.90	10268.65	51076	0	0
2020.04.16	10354.15	10447.40	10220.40	10295.90	39576	0	0
2020.04.17	10676.15	10761.90	10540.90	10705.90	41226	0	0
2020.04.20	10700.40	10716.15	10442.90	10540.65	38676	0	0
2020.04.21	10445.65	10524.90	10232.65	10275.40	41426	0	0
2020.04.22	10355.65	10471.40	10312.15	10440.90	23326	0	0
2020.04.23	10440.40	10612.15	10322.90	10387.65	52576	0	0
2020.04.24	10307.15	10490.40	10278.90	10472.40	25776	0	0
2020.04.27	10599.15	10724.15	10522.15	10687.40	31576	0	0
2020.04.28	10672.40	10900.65	10652.15	10730.65	43876	0	0
2020.04.29	10851.15	11160.15	10786.90	11112.40	48526	0	0
2020.04.30	11260.15	11263.15	10757.15	10825.15	57701	0	0
2020.05.01	10683.65	10685.40	10493.90	10496.90	19626	0	0
2020.05.04	10464.40	10611.15	10426.40	10592.90	24101	0	0
2020.05.05	10619.40	10750.15	10518.15	10627.40	45601	0	0
2020.05.06	10689.15	10773.15	10539.90	10542.40	31976	0	0
2020.05.07	10616.65	10803.05	10613.05	10756.55	24011	0	0
2020.05.08	10756.55	10956.05	10746.30	10951.80	22426	0	0
2020.05.11	10922.55	11032.55	10739.55	10860.05	52351	0	0
2020.05.12	10860.05	10896.55	10586.30	10591.55	35201	0	0
2020.05.13	10591.80	10706.05	10434.80	10534.05	48476	0	0
2020.05.14	10534.05	10555.80	10160.05	10460.30	71776	0	0
2020.05.15	10460.30	10546.80	10369.05	10486.55	32926	0	0
2020.05.18	10474.80	11146.80	10474.80	11078.30	74051	0	0
2020.05.19	11078.30	11225.55	10932.30	10962.80	47101	0	0
2020.05.20	10962.80	11248.55	10930.55	11224.30	37451	0	0
2020.05.21	11224.30	11231.80	11034.80	11050.80	22051	0	0
2020.05.22	11050.80	11139.05	10864.80	11130.05	46926	0	0
2020.05.25	11098.55	11403.30	11096.05	11397.80	31526	0	0
2020.05.26	11390.30	11546.30	11352.55	11473.30	30451	0	0
2020.05.27	11472.80	11747.80	11430.30	11738.30	36951	0	0
2020.05.28	11749.05	11834.55	11654.30	11717.20	32866	0	0
2020.05.29	11717.20	11725.30	11513.50	11720.00	42081	0	0
2020.06.01	11705.60	11941.30	11523.10	11928.50	61351	0	0
2020.06.02	11928.50	12078.20	11850.00	12072.20	31271	0	0
2020.06.03	12072.20	12556.00	12058.00	12509.90	55831	0	0
