<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	66.215	66.408	65.524	66.080	1634	0	0
2020.01.03	66.219	69.273	66.190	68.371	4015	0	0
2020.01.06	69.807	70.447	67.958	68.142	3314	0	0
2020.01.07	68.125	68.453	67.386	68.030	2040	0	0
2020.01.08	69.858	70.040	64.673	65.553	6430	0	0
2020.01.09	65.579	65.718	64.267	65.077	2401	0	0
2020.01.10	64.835	65.293	64.494	64.683	1447	0	0
2020.01.13	64.534	64.872	63.543	63.821	1946	0	0
2020.01.14	64.001	64.579	63.507	63.962	2106	0	0
2020.01.15	63.870	64.127	63.093	63.817	2016	0	0
2020.01.16	63.921	64.398	63.399	64.176	1744	0	0
2020.01.17	63.974	64.545	63.919	64.486	741	0	0
2020.01.20	64.876	65.053	64.307	64.490	1107	0	0
2020.01.21	64.426	64.428	63.422	63.860	1447	0	0
2020.01.22	63.781	63.861	61.945	61.978	2030	0	0
2020.01.23	61.595	61.962	60.626	61.445	2523	0	0
2020.01.24	61.262	61.743	59.535	59.966	3121	0	0
2020.01.27	58.723	59.081	57.761	58.222	2140	0	0
2020.01.28	58.316	59.356	57.894	59.250	1991	0	0
2020.01.29	59.357	59.794	58.346	58.614	2154	0	0
2020.01.30	58.559	58.590	56.692	58.164	3402	0	0
2020.01.31	58.244	58.418	55.895	56.594	3397	0	0
2020.02.03	56.262	56.721	54.082	54.133	3150	0	0
2020.02.04	54.651	55.670	53.710	53.811	3081	0	0
2020.02.05	54.391	56.478	54.163	55.660	3362	0	0
2020.02.06	55.911	56.609	54.342	55.247	3871	0	0
2020.02.07	55.426	55.497	54.333	54.567	1470	0	0
2020.02.10	54.492	54.835	53.233	53.517	2230	0	0
2020.02.11	54.087	54.760	53.824	54.219	1741	0	0
2020.02.12	54.832	56.332	54.775	56.314	1633	0	0
2020.02.13	56.108	56.804	55.066	56.415	3170	0	0
2020.02.14	56.288	57.447	56.147	57.260	1629	0	0
2020.02.17	57.019	57.563	56.953	57.424	816	0	0
2020.02.18	57.032	57.631	56.191	57.476	2437	0	0
2020.02.19	57.594	59.092	57.569	58.947	1694	0	0
2020.02.20	59.239	59.609	58.553	58.585	1459	0	0
2020.02.21	58.579	58.627	57.270	57.908	2044	0	0
2020.02.24	56.371	56.685	54.612	55.638	3414	0	0
2020.02.25	56.106	56.365	53.953	54.297	3016	0	0
2020.02.26	54.653	54.768	52.371	52.716	2858	0	0
2020.02.27	52.187	52.454	50.386	50.962	2912	0	0
2020.02.28	50.937	51.104	48.920	50.077	3509	0	0
2020.03.02	50.435	52.725	49.873	52.718	3422	0	0
2020.03.03	53.177	53.803	51.544	51.799	3141	0	0
2020.03.04	52.337	52.998	51.058	51.610	3154	0	0
2020.03.05	51.897	52.044	49.744	50.067	2771	0	0
2020.03.06	50.076	50.076	45.243	45.580	5171	0	0
2020.03.09	35.595	37.614	31.528	33.699	10277	0	0
2020.03.10	36.000	38.551	35.347	38.244	4165	0	0
2020.03.11	37.763	40.005	36.054	36.645	6785	0	0
2020.03.12	36.888	37.172	33.464	33.504	4033	0	0
2020.03.13	33.835	36.725	33.555	35.553	4623	0	0
2020.03.16	33.493	34.205	30.543	30.633	4465	0	0
2020.03.17	31.192	32.344	29.614	29.705	3974	0	0
2020.03.18	30.006	30.408	25.799	27.682	6895	0	0
2020.03.19	28.368	30.704	26.322	29.568	7565	0	0
2020.03.20	30.068	32.469	28.399	29.041	7114	0	0
2020.03.23	27.471	29.405	27.185	29.335	2577	0	0
2020.03.24	29.534	30.713	28.968	29.850	3175	0	0
2020.03.25	30.068	30.718	28.256	29.751	4608	0	0
2020.03.26	29.914	30.165	28.290	29.086	2923	0	0
2020.03.27	29.184	29.421	27.315	28.271	3300	0	0
2020.03.30	27.171	27.466	25.600	26.640	3202	0	0
2020.03.31	27.252	28.333	26.140	26.146	3281	0	0
2020.04.01	26.640	26.900	25.182	26.131	2928	0	0
2020.04.02	26.508	35.843	26.154	29.962	15925	0	0
2020.04.03	30.264	35.291	28.920	35.105	7902	0	0
2020.04.06	32.380	34.680	32.364	33.821	3192	0	0
2020.04.07	34.288	34.850	32.658	33.326	3423	0	0
2020.04.08	33.745	34.680	32.676	34.488	3266	0	0
2020.04.09	34.839	37.123	32.518	32.830	7202	0	0
2020.04.13	33.730	34.677	32.110	33.455	4860	0	0
2020.04.14	34.078	34.161	31.631	32.247	3230	0	0
2020.04.15	32.655	32.726	29.554	30.221	3911	0	0
2020.04.16	30.831	31.354	29.481	30.668	3584	0	0
2020.04.17	31.282	31.418	30.185	30.815	2000	0	0
2020.04.20	30.601	30.971	28.189	28.503	3467	0	0
2020.04.21	29.032	29.481	21.132	22.817	10484	0	0
2020.04.22	23.756	25.374	19.407	23.836	11855	0	0
2020.04.23	24.201	26.600	23.437	24.776	5752	0	0
2020.04.24	25.631	25.941	23.754	25.037	3781	0	0
2020.04.27	25.070	25.084	22.483	22.991	3124	0	0
2020.04.28	22.692	23.873	22.034	23.098	3273	0	0
2020.04.29	23.208	25.361	22.931	24.345	3724	0	0
2020.04.30	24.880	27.192	24.679	26.851	3056	0	0
2020.05.01	26.845	28.143	26.063	26.799	4115	0	0
2020.05.04	26.227	28.389	25.870	28.136	3130	0	0
2020.05.05	28.581	31.944	28.146	31.783	4395	0	0
2020.05.06	31.750	32.166	28.931	30.053	4774	0	0
2020.05.07	30.141	32.098	29.412	29.649	4881	0	0
2020.05.08	29.997	31.574	29.800	31.244	2302	0	0
2020.05.11	31.100	31.857	29.834	30.332	3279	0	0
2020.05.12	30.372	31.072	29.790	29.791	1984	0	0
2020.05.13	29.893	30.935	29.300	29.739	3117	0	0
2020.05.14	29.727	31.755	29.332	31.605	2969	0	0
2020.05.15	31.599	33.069	31.249	32.976	2264	0	0
2020.05.18	33.668	35.852	33.513	35.627	2720	0	0
2020.05.19	35.621	35.916	34.388	34.693	2129	0	0
2020.05.20	34.773	36.581	34.666	35.940	2664	0	0
2020.05.21	36.205	37.120	36.002	36.317	2125	0	0
2020.05.22	36.474	36.517	33.892	35.560	4337	0	0
2020.05.25	35.148	36.270	34.939	36.246	1565	0	0
2020.05.26	36.266	37.216	35.804	36.590	2501	0	0
2020.05.27	36.512	36.711	34.700	34.883	2394	0	0
2020.05.28	34.734	36.641	34.386	35.997	3248	0	0
2020.05.29	35.890	38.165	34.888	37.618	4827	0	0
2020.06.01	37.695	38.683	37.197	38.496	2172	0	0
2020.06.02	38.531	39.734	38.379	39.546	1696	0	0
2020.06.03	39.845	40.518	38.784	39.353	2977	0	0
2020.06.04	39.677	40.133	39.071	39.927	1875	0	0
2020.06.05	39.911	42.470	39.766	41.858	3462	0	0
2020.06.08	43.341	43.346	40.750	40.768	2620	0	0
2020.06.09	41.200	41.515	39.934	40.747	2710	0	0
2020.06.10	40.677	42.064	40.296	41.253	2961	0	0
2020.06.11	40.910	41.094	37.976	38.410	3737	0	0
2020.06.12	37.569	39.567	37.157	39.014	3376	0	0
2020.06.15	38.341	39.991	37.395	39.843	3691	0	0
2020.06.16	39.952	41.723	39.087	40.750	4475	0	0
2020.06.17	40.518	41.538	40.121	40.460	2777	0	0
2020.06.18	40.230	41.575	40.067	41.347	1900	0	0
2020.06.19	41.580	42.826	41.007	41.801	3418	0	0
2020.06.22	42.159	43.136	41.821	42.904	1886	0	0
2020.06.23	43.144	43.938	42.193	42.394	2741	0	0
2020.06.24	42.623	42.925	39.864	40.470	3970	0	0
2020.06.25	40.569	41.597	39.697	41.360	3010	0	0
2020.06.26	41.241	41.775	40.268	40.556	2330	0	0
2020.06.29	40.380	41.979	40.003	41.744	2589	0	0
2020.06.30	41.615	41.972	40.995	41.624	1946	0	0
2020.07.01	41.499	42.605	41.014	41.877	2805	0	0
2020.07.02	41.858	43.203	41.723	42.685	2134	0	0
2020.07.03	42.662	42.968	42.309	42.858	1123	0	0
2020.07.06	42.941	43.697	42.774	43.022	1766	0	0
2020.07.07	43.185	43.480	42.501	42.867	1641	0	0
2020.07.08	42.870	43.500	42.859	43.268	885	0	0
2020.07.09	43.332	43.542	42.022	42.361	2070	0	0
2020.07.10	42.533	43.475	41.414	43.282	3374	0	0
2020.07.13	42.921	43.429	42.272	42.282	1676	0	0
2020.07.14	42.266	43.319	41.932	43.080	1961	0	0
2020.07.15	43.201	43.908	42.802	43.644	1770	0	0
2020.07.16	43.715	43.865	43.204	43.300	908	0	0
2020.07.17	43.507	43.521	42.717	43.140	1242	0	0
2020.07.20	43.230	43.545	42.502	43.259	2058	0	0
2020.07.21	43.380	45.007	43.368	44.066	2593	0	0
2020.07.22	44.081	44.602	43.831	44.431	1193	0	0
2020.07.23	44.427	45.016	43.435	43.552	2288	0	0
2020.07.24	43.672	44.180	43.190	43.635	1944	0	0
2020.07.27	43.519	44.168	42.894	43.886	2182	0	0
2020.07.28	44.018	44.311	43.388	43.592	1421	0	0
2020.07.29	43.735	44.282	43.564	44.064	1108	0	0
2020.07.30	44.090	44.235	41.963	43.545	4000	0	0
2020.07.31	43.655	43.820	42.962	43.608	1670	0	0
