<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	3235.88	3261.63	3234.08	3261.63	29351	0	0
2020.01.03	3260.15	3263.25	3207.02	3235.72	88026	0	0
2020.01.06	3220.25	3249.95	3209.40	3243.18	58176	0	0
2020.01.07	3243.70	3254.90	3226.72	3233.17	45826	0	0
2020.01.08	3231.30	3268.23	3181.77	3260.18	144026	0	0
2020.01.09	3260.20	3276.78	3257.47	3274.40	24401	0	0
2020.01.10	3275.28	3287.06	3261.05	3263.78	40501	0	0
2020.01.13	3266.08	3291.46	3266.08	3288.21	28626	0	0
2020.01.14	3289.50	3297.23	3275.95	3288.55	41601	0	0
2020.01.15	3288.10	3299.75	3278.75	3294.98	35126	0	0
2020.01.16	3294.88	3318.96	3294.88	3318.18	24851	0	0
2020.01.17	3318.10	3331.23	3317.37	3324.60	21201	0	0
2020.01.20	3325.35	3329.75	3320.02	3325.25	19351	0	0
2020.01.21	3325.35	3331.40	3308.85	3321.85	41601	0	0
2020.01.22	3321.55	3339.05	3317.05	3318.77	41226	0	0
2020.01.23	3317.30	3328.65	3303.00	3327.93	40676	0	0
2020.01.24	3327.20	3338.75	3282.47	3292.65	78001	0	0
2020.01.27	3269.78	3270.83	3235.32	3242.95	44171	0	0
2020.01.28	3241.70	3287.45	3239.80	3285.40	51601	0	0
2020.01.29	3284.10	3295.00	3268.00	3273.45	43351	0	0
2020.01.30	3273.58	3297.63	3242.25	3296.86	87476	0	0
2020.01.31	3293.00	3299.75	3215.10	3229.32	105626	0	0
2020.02.03	3223.60	3269.43	3222.85	3247.43	69326	0	0
2020.02.04	3245.93	3307.53	3238.43	3302.76	81376	0	0
2020.02.05	3302.30	3340.40	3290.80	3338.18	63326	0	0
2020.02.06	3338.95	3359.55	3334.50	3350.18	38876	0	0
2020.02.07	3350.40	3351.25	3322.40	3324.67	31976	0	0
2020.02.10	3323.50	3354.90	3305.12	3353.25	69801	0	0
2020.02.11	3351.90	3376.05	3351.12	3360.78	40976	0	0
2020.02.12	3360.90	3382.90	3357.17	3382.13	30226	0	0
2020.02.13	3381.05	3385.63	3349.37	3379.62	71076	0	0
2020.02.14	3379.15	3388.83	3365.95	3381.23	43676	0	0
2020.02.17	3382.80	3393.20	3382.80	3388.20	15401	0	0
2020.02.18	3378.35	3379.38	3356.20	3371.65	39651	0	0
2020.02.19	3371.70	3394.20	3370.95	3388.65	29551	0	0
2020.02.20	3390.20	3397.93	3339.50	3367.87	94526	0	0
2020.02.21	3366.90	3369.70	3328.85	3338.80	53601	0	0
2020.02.24	3307.45	3312.10	3214.42	3227.22	115126	0	0
2020.02.25	3223.75	3260.50	3118.47	3138.65	198951	0	0
2020.02.26	3138.85	3183.33	3092.30	3101.30	144501	0	0
2020.02.27	3100.40	3117.80	2945.30	2949.95	194551	0	0
2020.02.28	2948.75	2996.99	2854.00	2990.14	244591	0	0
2020.03.02	2901.80	3094.28	2891.40	3073.15	234401	0	0
2020.03.03	3078.65	3137.68	2983.15	2991.05	221451	0	0
2020.03.04	2989.30	3130.90	2978.57	3112.73	181226	0	0
2020.03.05	3111.12	3115.38	2998.72	3025.12	147306	0	0
2020.03.06	3022.80	3038.63	2900.22	2965.26	219261	0	0
2020.03.09	2842.69	2851.83	2718.60	2736.65	160411	0	0
2020.03.10	2766.76	2886.98	2731.52	2878.00	199661	0	0
2020.03.11	2840.13	2847.63	2705.63	2742.10	185976	0	0
2020.03.12	2768.18	2769.26	2444.45	2451.58	333001	0	0
2020.03.13	2464.20	2710.40	2395.85	2669.12	424181	0	0
2020.03.16	2570.75	2571.15	2364.08	2413.82	257211	0	0
2020.03.17	2429.70	2554.58	2366.58	2486.82	318881	0	0
2020.03.18	2462.58	2469.08	2273.70	2417.08	345261	0	0
2020.03.19	2449.70	2471.08	2286.58	2366.48	285781	0	0
2020.03.20	2347.52	2510.28	2271.97	2278.47	407571	0	0
2020.03.23	2230.23	2396.72	2183.97	2227.32	422591	0	0
2020.03.24	2243.50	2460.32	2239.75	2455.20	229441	0	0
2020.03.25	2453.95	2573.08	2399.82	2480.08	320391	0	0
2020.03.26	2485.08	2637.82	2415.45	2631.45	298371	0	0
2020.03.27	2639.70	2644.82	2518.58	2536.38	149161	0	0
2020.03.30	2571.08	2632.32	2475.45	2624.08	260741	0	0
2020.03.31	2625.00	2646.62	2568.08	2574.82	106901	0	0
2020.04.01	2573.45	2573.58	2447.58	2470.08	148631	0	0
2020.04.02	2473.20	2537.58	2437.82	2528.82	143901	0	0
2020.04.03	2528.58	2542.08	2459.52	2490.02	126561	0	0
2020.04.06	2498.28	2676.58	2497.40	2655.58	201061	0	0
2020.04.07	2654.32	2756.08	2631.82	2645.70	239901	0	0
2020.04.08	2648.80	2760.82	2629.18	2748.32	163761	0	0
2020.04.09	2744.78	2818.70	2709.15	2796.45	167431	0	0
2020.04.13	2826.82	2827.20	2720.32	2769.32	156261	0	0
2020.04.14	2770.00	2853.38	2761.62	2853.38	100141	0	0
2020.04.15	2853.88	2854.00	2760.78	2777.62	110181	0	0
2020.04.16	2778.00	2840.12	2756.38	2839.00	106481	0	0
2020.04.17	2873.62	2893.88	2830.02	2878.78	122561	0	0
2020.04.20	2870.40	2884.28	2814.02	2820.15	90271	0	0
2020.04.21	2816.65	2842.02	2726.08	2741.95	157181	0	0
2020.04.22	2746.32	2816.38	2726.32	2798.88	127561	0	0
2020.04.23	2797.42	2845.12	2781.68	2790.12	119581	0	0
2020.04.24	2786.25	2843.35	2763.75	2837.48	107971	0	0
2020.04.27	2856.35	2889.22	2821.72	2875.35	116001	0	0
2020.04.28	2876.35	2921.48	2859.22	2868.38	116551	0	0
2020.04.29	2880.38	2967.82	2868.88	2966.82	111441	0	0
2020.04.30	2964.32	2973.08	2887.18	2891.55	99031	0	0
2020.05.01	2879.75	2888.12	2820.88	2826.12	80851	0	0
2020.05.04	2796.88	2844.88	2780.12	2836.50	89901	0	0
2020.05.05	2836.25	2898.58	2833.75	2868.82	97091	0	0
2020.05.06	2867.00	2895.12	2841.15	2843.02	83961	0	0
2020.05.07	2840.85	2902.32	2831.22	2890.32	92731	0	0
2020.05.08	2889.42	2939.72	2887.18	2937.48	57021	0	0
